"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.3267,0.3067,0.3102,0.3136,0.2935,0.2851,0.259,0.231,0.1897,0.113,0
"2",0.9091,0.8696,0.8658,0.8412,0.7792,0.7584,0.7082,0.6296,0.4991,0.3152,0
"3",0.9281,0.91,0.889,0.8778,0.8528,0.8078,0.7529,0.6575,0.5672,0.3577,0
"4",0.934,0.9143,0.9005,0.8681,0.841,0.8185,0.7555,0.6818,0.5689,0.3726,0
"5",0.9333,0.9191,0.8935,0.8886,0.858,0.8126,0.7622,0.6669,0.5753,0.3884,0
"6",0.931,0.9196,0.9086,0.8893,0.8443,0.7998,0.7708,0.6787,0.5557,0.4014,0
"7",0.9353,0.9109,0.9058,0.8727,0.8486,0.8214,0.7557,0.6691,0.5773,0.4127,0
"8",0.9314,0.924,0.8923,0.8745,0.8639,0.8005,0.7566,0.689,0.5474,0.3431,0
"9",0.9394,0.9085,0.9038,0.8792,0.8471,0.8216,0.7377,0.6996,0.5684,0.3833,0
"10",0.9305,0.9205,0.8958,0.8712,0.8336,0.8114,0.7439,0.6644,0.5735,0.3634,0
"11",0.9231,0.9149,0.8883,0.8736,0.8341,0.8089,0.7532,0.6716,0.5919,0.4187,0
