"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.6185,0.6121,0.6117,0.6136,0.6179,0.6167,0.6041,0.6161,0.6138,0.6192,0.6203
"2",0.614,0.6185,0.6035,0.6106,0.6164,0.615,0.6167,0.6138,0.6134,0.6224,0.6182
"3",0.6171,0.6184,0.6175,0.6137,0.6179,0.6051,0.6293,0.6195,0.6248,0.6122,0.6056
"4",0.6181,0.6227,0.615,0.6225,0.5975,0.6199,0.6141,0.6101,0.6105,0.6083,0.6278
"5",0.6301,0.6174,0.618,0.6088,0.6116,0.6132,0.6137,0.6073,0.6191,0.6081,0.607
"6",0.6197,0.62,0.615,0.6169,0.6102,0.6117,0.6092,0.6242,0.6183,0.6142,0.6113
"7",0.6166,0.6257,0.6098,0.6212,0.6125,0.6106,0.6151,0.6168,0.6142,0.6076,0.6173
"8",0.6148,0.6317,0.6082,0.6156,0.6146,0.6107,0.6258,0.6187,0.6191,0.6148,0.6264
"9",0.6121,0.6104,0.613,0.6204,0.6238,0.6195,0.6129,0.6175,0.6073,0.6224,0.6163
"10",0.6156,0.6126,0.6147,0.6167,0.6085,0.6139,0.6149,0.5947,0.6162,0.6257,0.61
"11",0.6022,0.6172,0.62,0.6103,0.6253,0.6242,0.6255,0.6245,0.6109,0.624,0.6171
