"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.6038,0.5997,0.6198,0.6204,0.5897,0.6051,0.6096,0.616,0.5996,0.5988,0.5945
"2",0.616,0.6182,0.6039,0.5965,0.6083,0.5967,0.6069,0.6125,0.6139,0.5936,0.5902
"3",0.6182,0.6103,0.5844,0.6133,0.6003,0.6109,0.601,0.6212,0.5806,0.5952,0.6167
"4",0.6061,0.6232,0.6077,0.613,0.6168,0.6135,0.6059,0.6044,0.599,0.6155,0.6109
"5",0.5969,0.6019,0.5813,0.6162,0.6007,0.5885,0.6091,0.6164,0.6185,0.6038,0.6009
"6",0.6176,0.581,0.6157,0.6017,0.5981,0.6113,0.6161,0.6178,0.6037,0.614,0.6042
"7",0.6109,0.6122,0.6131,0.594,0.6009,0.6034,0.578,0.5772,0.5957,0.615,0.6189
"8",0.6146,0.6136,0.5972,0.6101,0.5984,0.573,0.607,0.5939,0.5962,0.5826,0.6038
"9",0.5988,0.6094,0.6084,0.5601,0.6081,0.5929,0.6037,0.6097,0.6089,0.6113,0.624
"10",0.6107,0.6093,0.6055,0.6098,0.6085,0.6026,0.6007,0.6159,0.6054,0.6061,0.6177
"11",0.6012,0.6055,0.6178,0.6041,0.6029,0.5896,0.6014,0.6073,0.6087,0.6157,0.619
