"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.1954,0.2429,0.2555,0.2246,0.2126,0.1579,0.1951,0.1603,0.1343,0.0641,0
"2",0.8724,0.6229,0.6717,0.6283,0.7849,0.5398,0.4007,0.472,0.2825,0.1931,0
"3",0.6731,0.7276,0.8546,0.7989,0.6587,0.6351,0.572,0.5683,0.3797,0.2112,0
"4",0.6791,0.7782,0.502,0.8647,0.7653,0.7724,0.67,0.561,0.5007,0.266,0
"5",0.6672,0.7002,0.7485,0.861,0.7739,0.6895,0.6826,0.4503,0.451,0.2192,0
"6",0.744,0.8043,0.7411,0.7033,0.8154,0.5414,0.7208,0.4229,0.3515,0.1531,0
"7",0.9729,0.7379,0.6394,0.7992,0.8108,0.5876,0.6065,0.6997,0.2736,0.2631,0
"8",0.7011,0.8142,0.8724,0.7188,0.6573,0.4597,0.6149,0.6376,0.4004,0.2995,0
"9",0.8134,0.8827,0.6776,0.7714,0.6677,0.8,0.7744,0.5737,0.4543,0.1802,0
"10",0.7284,0.7572,0.8002,0.6506,0.8184,0.7328,0.4947,0.6102,0.3772,0.2111,0
"11",0.8259,0.782,0.9167,0.5937,0.6921,0.6058,0.6553,0.6449,0.4634,0.3159,0
