"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.5895,0.7526,0.8135,0.7486,0.7419,0.6159,0.8205,0.7416,0.8043,0.7473,0.5891
"2",0.7616,0.6703,0.668,0.6915,0.8926,0.7407,0.5878,0.6603,0.583,0.7426,0.6891
"3",0.6166,0.7424,0.8209,0.6798,0.6614,0.5863,0.6562,0.7423,0.6822,0.5903,0.5391
"4",0.5926,0.7134,0.5133,0.8179,0.6919,0.8936,0.7421,0.736,0.8172,0.7572,0.5104
"5",0.5931,0.821,0.686,0.8194,0.736,0.5919,0.6687,0.5372,0.7432,0.763,0.6612
"6",0.6643,0.7437,0.6714,0.661,0.8201,0.5877,0.8259,0.5885,0.7443,0.53,0.592
"7",0.8952,0.6671,0.586,0.7459,0.7422,0.5859,0.6664,0.8981,0.5863,0.6649,0.6644
"8",0.6616,0.7408,0.7397,0.6616,0.6611,0.4314,0.7457,0.8193,0.6612,0.7514,0.8196
"9",0.7418,0.8145,0.5936,0.82,0.668,0.82,0.8321,0.6095,0.7399,0.356,0.8206
"10",0.5387,0.66,0.8107,0.5892,0.8164,0.7363,0.516,0.82,0.7477,0.5613,0.8246
"11",0.7462,0.6609,0.8944,0.6669,0.6591,0.5878,0.7477,0.7301,0.6952,0.7374,0.8171
