"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.788,0.7937,0.6767,0.7886,0.789,0.7386,0.7145,0.7176,0.7879,0.7524,0.7914
"2",0.7367,0.6902,0.7168,0.731,0.7735,0.7862,0.5835,0.7085,0.7942,0.7106,0.7897
"3",0.756,0.7162,0.7331,0.7946,0.7319,0.7744,0.7417,0.7775,0.7079,0.6448,0.76
"4",0.6867,0.6358,0.6357,0.6811,0.7871,0.749,0.6865,0.7385,0.7696,0.7494,0.7322
"5",0.719,0.7948,0.7064,0.6629,0.7912,0.7856,0.7873,0.7313,0.6022,0.6809,0.7365
"6",0.6817,0.7843,0.7533,0.6839,0.7836,0.6599,0.6869,0.7874,0.7316,0.7297,0.6709
"7",0.7892,0.789,0.6361,0.784,0.7703,0.685,0.735,0.7377,0.7318,0.5763,0.7856
"8",0.7365,0.7414,0.7786,0.789,0.6825,0.7891,0.7571,0.7881,0.7876,0.7371,0.7897
"9",0.7362,0.7964,0.6641,0.7382,0.7846,0.787,0.636,0.6903,0.7323,0.7575,0.6667
"10",0.7551,0.7425,0.7127,0.7307,0.7374,0.7662,0.7608,0.6841,0.7436,0.7847,0.7896
"11",0.7084,0.7797,0.7327,0.6261,0.7711,0.7324,0.7893,0.7356,0.6753,0.7349,0.7931
