"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.5465,0.5357,0.5217,0.5602,0.5556,0.5443,0.4981,0.5566,0.57,0.5548,0.4785
"2",0.5382,0.5404,0.5151,0.5719,0.4689,0.5556,0.4421,0.5298,0.4938,0.5482,0.4869
"3",0.6129,0.4411,0.4989,0.4773,0.5773,0.5831,0.5158,0.5284,0.497,0.5266,0.4947
"4",0.4535,0.5275,0.5285,0.5953,0.5543,0.5656,0.4935,0.4866,0.4903,0.5203,0.4805
"5",0.5307,0.556,0.5191,0.5367,0.4816,0.6006,0.5579,0.4977,0.5234,0.5896,0.5911
"6",0.4739,0.5333,0.4877,0.5483,0.4647,0.5651,0.5827,0.5268,0.4873,0.4597,0.495
"7",0.5386,0.5272,0.5738,0.5769,0.5266,0.5545,0.5068,0.5971,0.503,0.5174,0.5093
"8",0.4987,0.5001,0.5596,0.6118,0.5664,0.5552,0.5385,0.5183,0.469,0.5839,0.5864
"9",0.5323,0.5392,0.521,0.5483,0.4967,0.5423,0.5706,0.4916,0.5056,0.5597,0.5152
"10",0.5575,0.5844,0.5632,0.556,0.5144,0.5333,0.6179,0.4664,0.5584,0.5125,0.5293
"11",0.579,0.6232,0.5757,0.5706,0.497,0.5092,0.5034,0.4374,0.4446,0.5284,0.512
