"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.5464,0.4399,0.4794,0.6207,0.5343,0.5075,0.5775,0.5394,0.4846,0.5797,0.5038
"2",0.5786,0.5305,0.6065,0.47,0.5786,0.6017,0.5081,0.5404,0.5349,0.5435,0.4543
"3",0.5568,0.4198,0.4491,0.4259,0.6199,0.5084,0.5446,0.5184,0.5058,0.5188,0.5269
"4",0.4829,0.5115,0.4225,0.5395,0.5083,0.5834,0.5011,0.5995,0.4899,0.5784,0.5142
"5",0.4968,0.5294,0.5542,0.5766,0.5028,0.5464,0.4673,0.449,0.5264,0.4941,0.5498
"6",0.4981,0.5368,0.4513,0.5273,0.5479,0.5001,0.4841,0.5143,0.4936,0.5692,0.597
"7",0.4384,0.4596,0.5594,0.5435,0.4625,0.509,0.6333,0.5897,0.5429,0.5082,0.5646
"8",0.518,0.5224,0.5273,0.5975,0.6133,0.5142,0.5389,0.5155,0.4811,0.488,0.5487
"9",0.5346,0.53,0.5937,0.5281,0.492,0.5294,0.629,0.5679,0.519,0.5083,0.4445
"10",0.453,0.4663,0.5195,0.5684,0.5308,0.5646,0.6241,0.6434,0.5123,0.5436,0.5871
"11",0.4804,0.5337,0.58,0.4485,0.5486,0.4177,0.4664,0.5675,0.47,0.6311,0.5609
