"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.2682,0.2784,0.2786,0.2684,0.2363,0.2487,0.2005,0.1611,0.1428,0.0817,0
"2",0.8034,0.856,0.8432,0.7389,0.7919,0.7554,0.6006,0.6028,0.4229,0.2316,0
"3",0.8732,0.8638,0.8558,0.8127,0.8665,0.807,0.7198,0.599,0.5118,0.309,0
"4",0.9015,0.8731,0.807,0.8312,0.7631,0.8126,0.7075,0.6809,0.5158,0.2699,0
"5",0.9302,0.8411,0.8304,0.8371,0.7926,0.8256,0.7864,0.6131,0.5067,0.2692,0
"6",0.881,0.9005,0.8354,0.8777,0.8614,0.7449,0.6257,0.6597,0.4814,0.2917,0
"7",0.8152,0.7743,0.8783,0.8013,0.8743,0.7801,0.7762,0.7038,0.5478,0.3168,0
"8",0.9188,0.9085,0.8447,0.7915,0.773,0.7699,0.6161,0.6504,0.4443,0.2802,0
"9",0.8522,0.8443,0.8648,0.8289,0.8265,0.7961,0.7818,0.7104,0.5476,0.2763,0
"10",0.8624,0.8117,0.8569,0.8268,0.7408,0.8217,0.621,0.6799,0.5232,0.2822,0
"11",0.8242,0.8733,0.9087,0.8818,0.8449,0.822,0.7599,0.6733,0.4702,0.3249,0
