"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.5976,0.6744,0.6492,0.6378,0.6038,0.6852,0.6024,0.5832,0.6711,0.6381,0.6367
"2",0.6272,0.6769,0.7043,0.6157,0.703,0.7056,0.5956,0.7045,0.6925,0.6825,0.5342
"3",0.6391,0.6593,0.6508,0.6518,0.6688,0.6257,0.6638,0.5924,0.6819,0.7155,0.6504
"4",0.6756,0.641,0.6694,0.668,0.6371,0.664,0.6801,0.6887,0.7064,0.6278,0.6793
"5",0.7161,0.6095,0.674,0.6204,0.643,0.6872,0.6986,0.6333,0.6617,0.6709,0.6609
"6",0.6686,0.6673,0.6617,0.6717,0.7033,0.6084,0.5693,0.6634,0.6338,0.6515,0.6105
"7",0.6226,0.59,0.6435,0.5916,0.7192,0.6333,0.7029,0.6916,0.6941,0.6253,0.6702
"8",0.706,0.7084,0.641,0.56,0.6234,0.6437,0.5942,0.7082,0.6032,0.6629,0.6488
"9",0.6274,0.634,0.6396,0.6799,0.6574,0.6701,0.6669,0.6175,0.7063,0.5976,0.626
"10",0.6469,0.6331,0.6654,0.6989,0.5804,0.7106,0.597,0.6355,0.6416,0.682,0.6738
"11",0.6379,0.7145,0.706,0.6271,0.7193,0.7094,0.7108,0.6705,0.6346,0.6713,0.6635
