"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.2918,0.2962,0.2843,0.2735,0.2721,0.2511,0.231,0.1863,0.1497,0.0803,0
"2",0.8679,0.9091,0.882,0.8145,0.8026,0.7574,0.6544,0.6281,0.4434,0.241,0
"3",0.8958,0.8708,0.822,0.8722,0.7949,0.8129,0.7345,0.6715,0.4915,0.3005,0
"4",0.8999,0.8031,0.9116,0.8731,0.8715,0.8119,0.7408,0.6548,0.54,0.304,0
"5",0.8886,0.8762,0.8872,0.8211,0.8299,0.828,0.768,0.6555,0.5288,0.3054,0
"6",0.9116,0.9116,0.8752,0.8888,0.8113,0.8072,0.7541,0.6856,0.4884,0.3094,0
"7",0.8992,0.9177,0.9043,0.8647,0.8356,0.7887,0.7177,0.6538,0.5171,0.3331,0
"8",0.9081,0.8918,0.8828,0.8635,0.8129,0.7715,0.766,0.6437,0.5399,0.2897,0
"9",0.9294,0.8739,0.8735,0.8916,0.8717,0.798,0.7966,0.6836,0.5143,0.3153,0
"10",0.8942,0.8645,0.884,0.8637,0.8636,0.8165,0.7298,0.6332,0.4769,0.3244,0
"11",0.9173,0.9096,0.9029,0.857,0.8483,0.7458,0.7478,0.6569,0.5472,0.2992,0
