"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.5972,0.6266,0.6055,0.6323,0.6017,0.624,0.6251,0.6075,0.6067,0.6213,0.6309
"2",0.6176,0.6249,0.6338,0.6261,0.6047,0.631,0.5758,0.6348,0.6295,0.6138,0.6065
"3",0.6083,0.5906,0.5768,0.6318,0.5842,0.6162,0.5974,0.616,0.6226,0.6297,0.6111
"4",0.6301,0.5578,0.6132,0.6192,0.6291,0.6086,0.6107,0.6285,0.61,0.6368,0.6206
"5",0.6245,0.619,0.6138,0.6222,0.5925,0.6202,0.6339,0.6175,0.6141,0.6245,0.6249
"6",0.6287,0.6257,0.5972,0.6294,0.6042,0.6226,0.6225,0.6289,0.603,0.6137,0.608
"7",0.6017,0.6302,0.6288,0.6209,0.5996,0.5925,0.5945,0.6272,0.6237,0.6201,0.6152
"8",0.5986,0.6173,0.6271,0.6252,0.592,0.5709,0.6289,0.629,0.6066,0.5882,0.6344
"9",0.6223,0.5927,0.6065,0.6127,0.6077,0.6305,0.579,0.6252,0.6235,0.6221,0.6125
"10",0.5869,0.5641,0.5979,0.5733,0.5911,0.6271,0.611,0.6085,0.6043,0.584,0.6116
"11",0.623,0.6072,0.6171,0.6448,0.6269,0.6017,0.6359,0.632,0.6386,0.5944,0.5978
