"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.2984,0.2825,0.2953,0.2886,0.2678,0.2538,0.227,0.1927,0.1444,0.0871,0
"2",0.8639,0.8758,0.8574,0.8598,0.8403,0.7788,0.7202,0.606,0.4736,0.2613,0
"3",0.9167,0.9075,0.8994,0.8413,0.8408,0.8086,0.7544,0.6383,0.506,0.2964,0
"4",0.8892,0.8917,0.8833,0.8837,0.8508,0.7953,0.7397,0.6899,0.4965,0.3165,0
"5",0.9115,0.8774,0.8698,0.8731,0.8513,0.788,0.7856,0.7004,0.5137,0.3275,0
"6",0.9112,0.9165,0.9113,0.8715,0.8809,0.7953,0.7489,0.6841,0.5161,0.2978,0
"7",0.9407,0.8822,0.9014,0.8893,0.8589,0.7941,0.7735,0.6299,0.5007,0.2834,0
"8",0.8986,0.907,0.8644,0.8802,0.8417,0.8073,0.7626,0.6518,0.5406,0.2837,0
"9",0.8925,0.9056,0.9106,0.8433,0.8509,0.8051,0.7866,0.677,0.5069,0.2785,0
"10",0.891,0.9159,0.8803,0.8619,0.8705,0.808,0.7423,0.655,0.5095,0.2802,0
"11",0.8845,0.9236,0.9111,0.8476,0.8508,0.8216,0.7597,0.6453,0.5629,0.3199,0
