"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.2988,0.2911,0.268,0.2782,0.2649,0.2223,0.2023,0.1861,0.1462,0.081,0
"2",0.849,0.7992,0.7552,0.8884,0.8229,0.7737,0.5821,0.6137,0.4823,0.2297,0
"3",0.9193,0.8651,0.9203,0.9094,0.8227,0.8572,0.7968,0.7105,0.5144,0.2575,0
"4",0.894,0.948,0.8193,0.8005,0.8497,0.8441,0.6972,0.6433,0.5606,0.3153,0
"5",0.9313,0.9071,0.9066,0.8434,0.8929,0.8565,0.7627,0.6465,0.4707,0.2737,0
"6",0.8309,0.9361,0.8958,0.7663,0.8829,0.8085,0.6665,0.7257,0.4496,0.3065,0
"7",0.9437,0.9089,0.8061,0.9196,0.8989,0.7561,0.7227,0.6895,0.5418,0.2412,0
"8",0.8544,0.8525,0.9309,0.9079,0.8444,0.8575,0.8164,0.6696,0.5135,0.2755,0
"9",0.8758,0.9277,0.8562,0.8262,0.8417,0.8176,0.7357,0.64,0.4405,0.2914,0
"10",0.9411,0.8639,0.8445,0.8832,0.8927,0.8329,0.7987,0.6293,0.5186,0.3082,0
"11",0.9279,0.9084,0.9126,0.7951,0.8909,0.8761,0.8079,0.6587,0.5003,0.2746,0
