"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.3075,0.3115,0.3119,0.3012,0.2964,0.2764,0.2631,0.2281,0.1846,0.1148,0
"2",0.8883,0.8781,0.8526,0.8364,0.7874,0.7556,0.7196,0.6091,0.527,0.3018,0
"3",0.9324,0.9209,0.9019,0.8613,0.8435,0.8053,0.751,0.686,0.5444,0.3651,0
"4",0.9295,0.9142,0.9023,0.8783,0.8466,0.8037,0.7546,0.6641,0.5545,0.3568,0
"5",0.9437,0.9198,0.8883,0.8779,0.8392,0.7989,0.7419,0.7012,0.593,0.3845,0
"6",0.9361,0.9188,0.9029,0.8706,0.8391,0.8107,0.7544,0.663,0.5487,0.3606,0
"7",0.9314,0.9119,0.8986,0.8755,0.8551,0.8005,0.7436,0.6823,0.5356,0.3741,0
"8",0.9259,0.9201,0.8997,0.8695,0.8506,0.8046,0.7679,0.6757,0.5647,0.3865,0
"9",0.9281,0.9157,0.9066,0.8808,0.8515,0.8,0.7506,0.6929,0.5383,0.3595,0
"10",0.9403,0.9194,0.8888,0.8774,0.8391,0.8069,0.7761,0.6617,0.5677,0.3579,0
"11",0.9294,0.9081,0.9046,0.8907,0.8324,0.8327,0.7624,0.6834,0.5674,0.3892,0
