"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.3138,0.3031,0.3042,0.2947,0.2844,0.2609,0.2389,0.2129,0.1596,0.0906,0
"2",0.9187,0.9025,0.8781,0.8503,0.8297,0.7875,0.6933,0.6098,0.4538,0.267,0
"3",0.932,0.9302,0.9146,0.8964,0.867,0.8392,0.7554,0.6761,0.5298,0.3129,0
"4",0.923,0.9303,0.9215,0.898,0.8735,0.8345,0.7799,0.7173,0.5404,0.3147,0
"5",0.9338,0.9273,0.9072,0.8863,0.8635,0.8329,0.752,0.687,0.5558,0.3237,0
"6",0.9273,0.9316,0.911,0.8888,0.8841,0.8271,0.7582,0.6758,0.5305,0.3162,0
"7",0.945,0.9271,0.9165,0.8847,0.8654,0.8263,0.7701,0.7067,0.5778,0.3299,0
"8",0.9282,0.9077,0.8962,0.894,0.8667,0.8331,0.7842,0.6867,0.5878,0.3292,0
"9",0.9281,0.8951,0.9027,0.8853,0.849,0.8378,0.7637,0.6773,0.5136,0.4464,0
"10",0.9378,0.9368,0.8965,0.888,0.867,0.8259,0.7691,0.6667,0.5168,0.3314,0
"11",0.9318,0.927,0.9016,0.8927,0.8843,0.825,0.7619,0.6806,0.5132,0.3386,0
